song_id,album_id,title,number,duration,plays,danceability,energy,valence,tempo,key_mode,explicit
4g2c7NoTWAOSYDy44l9nub,3lS1y25WAhcqJDATJK70Mq,Lavender Haze,1,202,207844316,0.735,0.444,0.0984,97,A# major,1
199E1RRrVmVTQqBXih5qRC,3lS1y25WAhcqJDATJK70Mq,Maroon,2,218,173314371,0.658,0.378,0.0382,108,G major,1
02Zkkf2zMkwRGQjZ7T4p8f,3lS1y25WAhcqJDATJK70Mq,Anti-Hero,3,201,391829492,0.638,0.634,0.519,97,E major,0
6ADDIJxxqzM9LMpm78yzQG,3lS1y25WAhcqJDATJK70Mq,Snow On The Beach (feat. Lana Del Rey),4,256,179424350,0.659,0.323,0.154,110,A major,1
7gVWKBcfIW93YxNBi3ApIE,3lS1y25WAhcqJDATJK70Mq,"You're On Your Own, Kid",5,194,169634476,0.694,0.38,0.376,120,D major,0
6Nl7KyvjkFncGsjB49SxLl,3lS1y25WAhcqJDATJK70Mq,Midnight Rain,6,175,203539170,0.636,0.377,0.23,140,C major,0
6C7OF1Jal7YkyjzyUG8vkK,3lS1y25WAhcqJDATJK70Mq,Question...?,7,211,132992388,0.751,0.502,0.112,109,G major,1
5yeuXkukVGuix3vmLu2BPJ,3lS1y25WAhcqJDATJK70Mq,Vigilante Shit,8,165,140719398,0.87,0.279,0.16,80,E minor,1
0jvo9CjnbR0lYUDTSNTMiu,3lS1y25WAhcqJDATJK70Mq,Bejeweled,9,194,156495596,0.7,0.55,0.412,164,G major,0
43q586vP8gGkYypKoSddhl,3lS1y25WAhcqJDATJK70Mq,Labyrinth,10,248,109537470,0.487,0.313,0.141,110,C major,0
5oqDgw5VGBln5dSIOPWyBq,3lS1y25WAhcqJDATJK70Mq,Karma,11,205,160267248,0.649,0.622,0.106,90,G# major,1
3zmwONxswBAzGwExPugSLN,3lS1y25WAhcqJDATJK70Mq,Sweet Nothing,12,188,104674293,0.334,0.161,0.396,177,C major,0
56hioFjQ0DXrdn04hZcFgG,3lS1y25WAhcqJDATJK70Mq,Mastermind,13,191,114679917,0.661,0.352,0.13,126,E major,0
3UMrglJeju5yWyYIW6o99b,3lS1y25WAhcqJDATJK70Mq,The Great War,14,240,75893340,0.573,0.741,0.554,96,F major,0
0BiqmkasE5FdrChwKfVp8X,3lS1y25WAhcqJDATJK70Mq,Bigger Than The Whole Sky,15,219,67153311,0.422,0.235,0.068,166,F# major,0
7712gjoih4QoDbXpljEk21,3lS1y25WAhcqJDATJK70Mq,Paris,16,196,63300037,0.7,0.509,0.345,111,G major,0
5kiZGSxgqPdv6rbqL9THdd,3lS1y25WAhcqJDATJK70Mq,High Infidelity,17,231,56191801,0.646,0.529,0.755,88,A# major,0
6wAFvJPpTZVirBKGZ4EnMW,3lS1y25WAhcqJDATJK70Mq,Glitch,18,149,49393373,0.675,0.466,0.347,141,B minor,0
0aV5uARAknQgYhBaK944FP,3lS1y25WAhcqJDATJK70Mq,"Would've, Could've, Should've",19,260,83526866,0.483,0.84,0.55,158,G major,0
3QF5RsWzK1lCvf2o2cY65P,3lS1y25WAhcqJDATJK70Mq,Dear Reader,20,225,47707378,0.562,0.388,0.159,108,C major,0
6lzc0Al0zfZOIFsFvBS1ki,6kZ42qRrzov54LcAk4onW9,State Of Grace (Taylor's Version),1,295,67567994,0.594,0.713,0.328,130,A major,0
4OAuvHryIVv4kMDNSLuPt6,6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),2,223,127870703,0.516,0.777,0.408,125,C# minor,0
3S7HNKPakdwNEBFIVTL6dZ,6kZ42qRrzov54LcAk4onW9,Treacherous (Taylor's Version),3,243,58624510,0.645,0.593,0.299,110,D major,0
6AtZLIzUINvExIUy4QhdjP,6kZ42qRrzov54LcAk4onW9,I Knew You Were Trouble (Taylor's Version),4,220,115400513,0.584,0.557,0.767,154,F# major,0
3nsfB1vus2qaloUdcBZvDu,6kZ42qRrzov54LcAk4onW9,All Too Well (Taylor's Version),5,329,133331633,0.44,0.528,0.132,186,C major,0
3yII7UwgLF6K5zW3xad3MP,6kZ42qRrzov54LcAk4onW9,22 (Taylor's Version),6,231,94259871,0.642,0.695,0.642,104,G major,0
2r9CbjYgFhtAmcFv1cSquB,6kZ42qRrzov54LcAk4onW9,I Almost Do (Taylor's Version),7,245,49203135,0.511,0.559,0.248,146,E major,0
5YqltLsjdqFtvqE7Nrysvs,6kZ42qRrzov54LcAk4onW9,We Are Never Ever Getting Back Together (Taylor's Version),8,193,101076206,0.567,0.686,0.716,172,G major,0
7eQj6r5PIdYKEIZjucBMcq,6kZ42qRrzov54LcAk4onW9,Stay Stay Stay (Taylor's Version),9,206,48259076,0.693,0.681,0.663,100,C major,0
0y6kdSRCVQhSsHSpWvTUm7,6kZ42qRrzov54LcAk4onW9,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),10,299,53037166,0.502,0.534,0.155,94,D major,0
7J4b3LVCIGO4CMBDFLPoP6,6kZ42qRrzov54LcAk4onW9,Holy Ground (Taylor's Version),11,203,43917831,0.622,0.809,0.511,157,A major,0
73qMN9bXy7MSPwwGfH3wQr,6kZ42qRrzov54LcAk4onW9,Sad Beautiful Tragic (Taylor's Version),12,285,44499647,0.601,0.406,0.232,130,G major,0
4e5ayHsOLJNLTGfjau2mEw,6kZ42qRrzov54LcAk4onW9,The Lucky One (Taylor's Version),13,240,39825078,0.686,0.571,0.538,118,E major,0
7qEUFOVcxRI19tbT68JcYK,6kZ42qRrzov54LcAk4onW9,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),14,245,63677338,0.498,0.61,0.474,80,F# major,0
7A2cNLRT0YJc1yjxHlKihs,6kZ42qRrzov54LcAk4onW9,Starlight (Taylor's Version),15,220,36655262,0.628,0.685,0.605,126,E major,0
05GsNucq8Bngd9fnd4fRa0,6kZ42qRrzov54LcAk4onW9,Begin Again (Taylor's Version),16,239,48162532,0.519,0.527,0.267,79,G major,0
0NRHj8hDwwmSPaA41o379r,6kZ42qRrzov54LcAk4onW9,The Moment I Knew (Taylor's Version),17,285,37580039,0.636,0.402,0.208,126,G major,0
4pNApnaUWAL2J4KO2eqokq,6kZ42qRrzov54LcAk4onW9,Come Back...Be Here (Taylor's Version),18,223,53363542,0.46,0.632,0.399,80,E major,0
0DMVrlMUn01M0IcpDbwgu7,6kZ42qRrzov54LcAk4onW9,Girl At Home (Taylor's Version),19,221,32142542,0.691,0.736,0.612,125,F major,0
5jAIouBES8LWMiriuNq170,6kZ42qRrzov54LcAk4onW9,State Of Grace (Acoustic Version) (Taylor's Version),20,322,29145400,0.445,0.131,0.101,209,G major,0
7nWui6jiMM2m9qFmET1Mtj,6kZ42qRrzov54LcAk4onW9,Ronan (Taylor's Version),21,264,23905177,0.623,0.279,0.38,116,C major,0
4OmFmE0fzcMG6g0Y8p4eSD,6kZ42qRrzov54LcAk4onW9,Better Man (Taylor's Version) (From The Vault),22,297,71470803,0.473,0.579,0.255,74,E major,0
01K4zKU104LyJ8gMb7227B,6kZ42qRrzov54LcAk4onW9,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),23,259,114578726,0.606,0.377,0.446,102,C major,0
0v4z1tuZvn6LGknom9Qx7d,6kZ42qRrzov54LcAk4onW9,Babe (Taylor's Version) (From The Vault),24,224,59258837,0.584,0.743,0.746,168,E major,0
3z6XUommYDWPHeFhmhhT6j,6kZ42qRrzov54LcAk4onW9,Message In A Bottle (Taylor's Version) (From The Vault),25,226,117239853,0.622,0.791,0.494,116,G major,0
4CkgMiMqZ5JzW9iYXSTMTL,6kZ42qRrzov54LcAk4onW9,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),26,285,116523146,0.391,0.715,0.473,150,C major,1
3oGVx9RBmiYGv5ZCecWLkx,6kZ42qRrzov54LcAk4onW9,Forever Winter (Taylor's Version) (From The Vault),27,264,49755865,0.611,0.552,0.41,116,G major,0
4IQkfUsrwXol38VV3U7t7T,6kZ42qRrzov54LcAk4onW9,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),28,240,90958697,0.61,0.488,0.443,125,D# major,0
6pYNq0ZwpPVazKzsqpf0G8,6kZ42qRrzov54LcAk4onW9,The Very First Night (Taylor's Version) (From The Vault),29,200,84429026,0.678,0.733,0.581,121,G major,0
5enxwA8aAbwZbf5qCHORXi,6kZ42qRrzov54LcAk4onW9,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),30,613,439368009,0.631,0.518,0.205,93,C major,1
77sMIMlNaSURUAXq5coCxE,4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor’s Version),1,242,70934821,0.569,0.741,0.43,100,F major,0
2nqio0SfWg6gh2eCtfuMa5,4hDok0OAJd57SGIT8xuWJH,Fifteen (Taylor’s Version),2,294,47826706,0.559,0.646,0.289,95,G major,0
6YvqWjhGD8mB5QXcbcUKtx,4hDok0OAJd57SGIT8xuWJH,Love Story (Taylor’s Version),3,236,287586996,0.627,0.792,0.415,119,D major,0
550erGcdD9n6PnwxrvYqZT,4hDok0OAJd57SGIT8xuWJH,Hey Stephen (Taylor’s Version),4,254,44664929,0.788,0.571,0.797,116,F# major,0
5YL553x8sHderRBDlm3NM3,4hDok0OAJd57SGIT8xuWJH,White Horse (Taylor’s Version),5,235,44255817,0.423,0.517,0.366,185,C major,0
1qrpoAMXodY6895hGKoUpA,4hDok0OAJd57SGIT8xuWJH,You Belong With Me (Taylor’s Version),6,231,198421595,0.632,0.773,0.474,130,F# major,0
7HC7R2D8WjXVcUHJyEGjRs,4hDok0OAJd57SGIT8xuWJH,Breathe (feat. Colbie Caillat) (Taylor’s Version),7,263,34918290,0.506,0.626,0.321,148,C# major,0
0k0vFacOHNuArLWMiH60p7,4hDok0OAJd57SGIT8xuWJH,Tell Me Why (Taylor’s Version),8,201,29763373,0.578,0.909,0.541,100,G major,0
6iiAfo4wTA2CVC3Uwx9uh8,4hDok0OAJd57SGIT8xuWJH,You’re Not Sorry (Taylor’s Version),9,262,34633581,0.506,0.444,0.241,134,F# major,0
22bPsP2jCgbLUvh82U0Z3M,4hDok0OAJd57SGIT8xuWJH,The Way I Loved You (Taylor’s Version),10,243,170343228,0.402,0.732,0.472,161,F major,0
1msEuwSBneBKpVCZQcFTsU,4hDok0OAJd57SGIT8xuWJH,Forever & Always (Taylor’s Version),11,225,50832810,0.598,0.821,0.673,128,A# major,0
6ON9UuIq49xXY9GPmHIYRp,4hDok0OAJd57SGIT8xuWJH,The Best Day (Taylor’s Version),12,245,26465598,0.642,0.576,0.469,125,C# major,0
3ExweHKZF9B752DPQByRVT,4hDok0OAJd57SGIT8xuWJH,Change (Taylor’s Version),13,279,23671762,0.499,0.815,0.344,96,F major,0
2m3ObD945KvpE5y9A1eUWm,4hDok0OAJd57SGIT8xuWJH,Jump Then Fall (Taylor’s Version),14,238,26829259,0.572,0.69,0.624,160,D major,0
0tQ9vBYpldCuikPsbgOVKA,4hDok0OAJd57SGIT8xuWJH,Untouchable (Taylor’s Version),15,312,27124768,0.393,0.531,0.224,200,F major,0
01QdEx6kFr78ZejhQtWR5m,4hDok0OAJd57SGIT8xuWJH,Forever & Always (Piano Version) (Taylor’s Version),16,268,27565899,0.546,0.273,0.271,119,A major,0
1n2wszmJyVkw6FHqyLnQsY,4hDok0OAJd57SGIT8xuWJH,Come In With The Rain (Taylor’s Version),17,237,21253182,0.476,0.564,0.167,144,D major,0
51A8eKvvZz9uydvIZ7xRSV,4hDok0OAJd57SGIT8xuWJH,Superstar (Taylor’s Version),18,264,19454704,0.454,0.555,0.171,172,D major,0
1cSFlSBdpT4F5vb1frQ231,4hDok0OAJd57SGIT8xuWJH,The Other Side Of The Door (Taylor’s Version),19,238,33830096,0.432,0.873,0.629,164,E major,0
2JoJrsEV15OzbijS47lids,4hDok0OAJd57SGIT8xuWJH,Today Was A Fairytale (Taylor’s Version),20,242,26988194,0.482,0.779,0.328,158,G major,0
4CHpVfAhuxNJ3ibExe6kxO,4hDok0OAJd57SGIT8xuWJH,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),21,221,76353443,0.599,0.494,0.44,143,D major,0
2CYVETnhM9aytqrazYYwrK,4hDok0OAJd57SGIT8xuWJH,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),22,278,186772424,0.66,0.817,0.714,136,B minor,0
34V9RiEPe8MNdU32qJsJa1,4hDok0OAJd57SGIT8xuWJH,We Were Happy (Taylor’s Version) (From The Vault),23,244,32865050,0.609,0.373,0.13,106,C major,0
7eResoqEJJAVTkQYSqvO3P,4hDok0OAJd57SGIT8xuWJH,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),24,189,44793440,0.588,0.608,0.508,90,F major,0
4uuEGH5SVuzkkSFjo2DEiY,4hDok0OAJd57SGIT8xuWJH,Don’t You (Taylor’s Version) (From The Vault),25,209,37440641,0.563,0.473,0.405,102,D# major,0
4qUijfYU8EoIWiY6oSyrgT,4hDok0OAJd57SGIT8xuWJH,Bye Bye Baby (Taylor’s Version) (From The Vault),26,242,30026751,0.624,0.624,0.527,80,F major,0
2gVhfX2Gy1T9kDuS9azrF7,6AORtDjduMM3bupSWzbTSG,willow,1,215,511071164,0.392,0.574,0.529,81,G major,0
1gcyHQpBQ1lfXGdhZmWrHP,6AORtDjduMM3bupSWzbTSG,champagne problems,2,244,317422916,0.462,0.24,0.32,171,C major,1
3Dby3p1m6IOZn2gIIqECgK,6AORtDjduMM3bupSWzbTSG,gold rush,3,185,169286592,0.512,0.462,0.353,112,A major,1
6sQckd3Z8NPxVVKUnavY1F,6AORtDjduMM3bupSWzbTSG,‘tis the damn season,4,230,141027561,0.575,0.434,0.348,146,F major,0
6lCvK2AR2uOKkVFCVlAzzm,6AORtDjduMM3bupSWzbTSG,tolerate it,5,245,137146059,0.316,0.361,0.221,75,A major,1
6uwfVkaOM1mcMkFmSn35ix,6AORtDjduMM3bupSWzbTSG,"no body, no crime (feat. HAIM)",6,216,164648283,0.546,0.613,0.535,79,G minor,0
55Vf4bimc1Rtfg0PAQRAo2,6AORtDjduMM3bupSWzbTSG,happiness,7,315,111288459,0.559,0.334,0.211,122,B major,1
66tOfHVH3aUrscg8vExRV4,6AORtDjduMM3bupSWzbTSG,dorothea,8,226,96977480,0.605,0.488,0.354,120,E major,0
2awNGIJHodfLZSClB3PYhz,6AORtDjduMM3bupSWzbTSG,coney island (feat. The National),9,275,105257309,0.537,0.537,0.292,108,G# major,0
43Ykum9T72UOPhBN31grpN,6AORtDjduMM3bupSWzbTSG,ivy,10,260,122188780,0.515,0.545,0.535,89,D major,1
52OkpDsU6MmPx1AwGOb6Ap,6AORtDjduMM3bupSWzbTSG,cowboy like me,11,275,99347019,0.604,0.517,0.511,128,C major,1
5VYWxXUpxuxEmCqMLDqICo,6AORtDjduMM3bupSWzbTSG,long story short,12,216,113210528,0.546,0.73,0.573,158,C major,0
5uICWmZTLkpEVbK22PBP6e,6AORtDjduMM3bupSWzbTSG,marjorie,13,258,92161802,0.535,0.561,0.287,96,F major,0
6a8aUhYbaQBUI8PcJ5ZmQ6,6AORtDjduMM3bupSWzbTSG,closure,14,181,72441344,0.689,0.704,0.92,152,A major,0
6Wlq9rqkxrqj5Kls4Kw14H,6AORtDjduMM3bupSWzbTSG,evermore (feat. Bon Iver),15,304,120530796,0.39,0.27,0.32,125,C# major,0
3zwMVvkBe2qIKDObWgXw4N,6AORtDjduMM3bupSWzbTSG,right where you left me - bonus track,16,245,132702024,0.581,0.619,0.645,138,A# major,0
1kdWw77ZpYOkhxeuhzU1j6,6AORtDjduMM3bupSWzbTSG,it’s time to go - bonus track,17,255,54819122,0.592,0.41,0.416,152,C major,0
4pfrrhvplbJZAIsfosGWQP,1pzvBxYgT6OVwJLtHkrdQK,the 1,1,210,320286903,0.78,0.361,0.163,140,C major,1
0KRYCBwIpWYFNrXOmXbyUh,1pzvBxYgT6OVwJLtHkrdQK,cardigan,2,240,531234998,0.612,0.58,0.534,130,C minor,0
2olxzvoFI9IpxqFeUv7WOX,1pzvBxYgT6OVwJLtHkrdQK,the last great american dynasty,3,231,203479807,0.688,0.653,0.701,148,G major,1
5S4aYQAJOwJMAamANWlICO,1pzvBxYgT6OVwJLtHkrdQK,exile (feat. Bon Iver),4,286,473133107,0.31,0.374,0.16,76,F# major,0
5P2bHCDM2tsgIaYWsZMhu5,1pzvBxYgT6OVwJLtHkrdQK,my tears ricochet,5,256,233315914,0.456,0.265,0.112,130,C major,0
2I8YAEA1VmCuP1wkJHMpTw,1pzvBxYgT6OVwJLtHkrdQK,mirrorball,6,209,200439636,0.549,0.417,0.347,110,G major,0
76mOLcXOjOEhyY4mMF1l3r,1pzvBxYgT6OVwJLtHkrdQK,seven,7,209,170476292,0.602,0.494,0.374,95,E major,0
6nK2pIKFcRc5frrZKHgsiT,1pzvBxYgT6OVwJLtHkrdQK,august,8,262,421248742,0.387,0.634,0.42,90,F major,0
7cm50Lw03k6VvRauJtkyTj,1pzvBxYgT6OVwJLtHkrdQK,this is me trying,9,195,193587485,0.511,0.478,0.408,136,A major,0
6DrLROM5MG9bxWHeEG5elq,1pzvBxYgT6OVwJLtHkrdQK,illicit affairs,10,191,180149150,0.529,0.304,0.44,120,A# major,0
2ehRU518I0hYqMGQnk4lDY,1pzvBxYgT6OVwJLtHkrdQK,invisible string,11,253,189846304,0.651,0.459,0.454,83,E minor,0
0RP1kqoSPkVXsKiQNhMKzV,1pzvBxYgT6OVwJLtHkrdQK,mad woman,12,237,128185900,0.593,0.7,0.451,142,D# major,1
1EXa37LpSvi3OQ9UYQ28rD,1pzvBxYgT6OVwJLtHkrdQK,epiphany,13,290,114559140,0.317,0.254,0.103,94,C# major,0
3IhtE4fkytdrtEfV34UzkD,1pzvBxYgT6OVwJLtHkrdQK,betty,14,295,194860472,0.595,0.376,0.476,96,C major,1
6JlI8Ay77m4nJvZTHvfT1J,1pzvBxYgT6OVwJLtHkrdQK,peace,15,234,124033066,0.644,0.284,0.328,150,F major,1
0YeDG5HnKnG7jpArkzsSPa,1pzvBxYgT6OVwJLtHkrdQK,hoax,16,220,110755999,0.676,0.178,0.404,119,G# major,0
0eFQWVz0qIxDOvhLpZ40P7,1pzvBxYgT6OVwJLtHkrdQK,the lakes - bonus track,17,212,77165446,0.313,0.258,0.268,180,D major,0
43rA71bccXFGD4C8GOpIlN,1NAmidJlEaVgA3MpcPFYGq,I Forgot That You Existed,1,171,237669987,0.664,0.316,0.541,93,F major,0
1BxfuPKGuaTgP7aM0Bbdwr,1NAmidJlEaVgA3MpcPFYGq,Cruel Summer,2,178,423867385,0.552,0.702,0.564,170,A major,0
